Input Text,Math_Type,Math_Formula
Solve for x: 2x + 3 = 7,Linear Equation,2x + 3 = 7
Determine the roots of the quardratic equation: x^2 - 4x + 4 = 0,Quardratic Equation,x^2 - 4x + 4 = 0
Find the derivative of this function f(x) = 4x^3 + 3x^2 + 2x - 5,Differentiation,f(x) = 4x^3 + 3x^2 + 2x - 5
Calculate the integral of the function f(x) = x^3 + 2x + 1 with respect to x,Integration,∫(x^3 + 2x + 1) dx
Determine the limit of (sin(x)/x) as x approaches to 0,Limits,lim (x -> 0) (sin(x)/x)
Solve the system of equations: 2x + 3y = 6 and x - y = 2,System of Linear Equations,"2x + 3y = 6, x - y = 2"
"Find the determinant of the matrix A = [[1, 2], [3, 4]]",Matrix Algebra,det(A) = |1  2|   |3  4|
"Determine if the matrix B = [[5, 6], [7, 8]] is invertible",Matrix Algebra,"B = [[5, 6], [7, 8]]"
"Find the eigenvalues of the matrix C = [[2, 1], [1, 2]]",Eigenvalue Calculation,"C = [[2, 1], [1, 2]]"
Solve for x in the inequality: 3x - 5 > 7,Linear Inequality,3x - 5 > 7
Solve for x: 6x + 7 = 19,Linear Equation,6x + 7 = 19
Determine the roots of the quardratic equation: 3x^2 + 4x - 5 = 0,Quardratic Equation,3x^2 + 4x - 5 = 0
Find the derivative of this function f(x) = x^4 + 4x^3 - 2x + 1,Differentiation,f(x) = x^4 + 4x^3 - 2x + 1
Find the derivative of this function f(x) = 7x^2 - 2x + 3,Differentiation,f(x) = 7x^2 - 2x + 3
Determine the roots of the quardratic function: x^2 - 2x - 3 = 0,Quardratic Equation,x^2 - 2x - 3 = 0
Solve for x: 8x - 3 = 13,Linear Equation,8x - 3 = 13
Calculate the integral of the function f(x) = x^5 - 4x^2 + 3 with respect to x,Integration,∫(x^5 - 4x^2 + 3)dx
Determine the limit of (1/x) as x approaches infinity,Limits,lim (x -> ∞) (1/x)
Solve the system  of equations: 3x - y = 4 and 2x + y = 5,System of Linear Equations,"3x - y = 4, 2x + y = 5"
Solve for x: 4x + 5 = 9,Linear Equation,4x + 5 = 9
Determine the roots of the quardratic equation: 5x^2 + 3x + 2 = 0,Quardratic Equation,5x^2 + 3x + 2 = 0
Find the derivative of this function f(x) = 2x^5 - 3x^2 + 7x,Differentiation,f(x) = 2x^5 - 3x^2 + 7x
Calculate the integral of the function f(x) = 3x^4 - 2x + 6 with respect to x,Integration,∫(3x^4 - 2x + 6)dx
Calculate the integral of the function f(x) = 2x^2 + 5x - 1 with respect to x,Integration,∫(2x^2 + 5x - 1)dx
Determine the limit of (sin(2x)/x) as x approaches 0,Limits,lim (x -> 0) (sin(2x)/x)
Determine the limit of (1/x^2) as x approaches infinity,Limits,lim (x -> ∞) (1/x^2)
Solve the system of equations: x - 2y = 3 and 4x + 5y = 7,System of Linear Equations,"x - 2y = 3, 4x + 5y = 7"
Solve the system of equations: 2x + y = 9 and 3x - 4y = 2,System of Linear Equations,"2x + y = 9, 3x - 4y = 2"
Solve for x in the inequality: 6x - 2 > 14,Linear Inequality,6x - 2 > 14
"Find the eigenvalues of the matrix H = [[2, 3], [3, 4]]",Eigenvalue Calculation,"H = [[2, 3], [3, 4]]"
Solve for x in the inequality: 7x + 5 < 20,Linear Inequality,7x + 5 < 20
"Find the eigenvalues of the matrix I = [[1, 2], [2, 1]]",Eigenvalue Calculation,"I = [[1, 2], [2, 1]]"
Solve for x in the inequality: 5x - 3 >= 12,Linear Inequality,5x - 3 >= 12
"Find the eigenvalues of the matrix J = [[4, 1], [1, 4]]",Eigenvalue Calculation,"J = [[4, 1], [1, 4]]"
"Find the determinant of the matrix H = [[3, 4], [2, 1]]",Matrix Algebra,det(H) = |3  4| |2  1|
"Find the inverse of the matrix I = [[2, 3], [1, 4]]",Matrix Algebra,"Inverse(I) = [[2, 3], [1, 4]]^(-1)"
"Find the trace of the matrix J = [[5, 0], [0, 5]]",Matrix Algebra,Trace(J) = 5 + 5
