Input Text,Math_Type,Math_Formula,Label
Solve for x: 2x + 3 = 7,Linear Equation,2x + 3 = 7,0
Determine the roots of the quadratic equation: x^2 - 4x + 4 = 0,Quadratic Equation,x^2 - 4x + 4 = 0,1
Find the derivative of this function f(x) = 4x^3 + 3x^2 + 2x - 5,Differentiation,f(x) = 4x^3 + 3x^2 + 2x - 5,2
Calculate the integral of the function f(x) = x^3 + 2x + 1 with respect to x,Integration,?(x^3 + 2x + 1) dx,3
Determine the limit of (sin(x)/x) as x approaches 0,Limits,lim (x -> 0) (sin(x)/x),4
Solve the system of equations: 2x + 3y = 6 and x - y = 2,System of Linear Equations,"2x + 3y = 6,x - y = 2",5
"Find the determinant of the matrix A = [[1, 2], [3, 2]]",Matrix,"A = [[1, 2], [3, 2]]",6
"Determine if the matrix B = [[5, 6], [7, 5]] is invertible",Matrix,"B = [[5, 6], [7, 5]]",6
"Find the eigenvalues of the matrix C = [[2, 1], [1, 1]]",Matrix,"C = [[2, 1], [1, 1]]",6
Solve for x in the inequality: 3x - 5 > 7,Linear Inequality,3x - 5 > 7,7
Solve for x: 6x + 7 = 19,Linear Equation,6x + 7 = 19,0
Determine the roots of the quadratic equation: 3x^2 + 4x - 5 = 0,Quadratic Equation,3x^2 + 4x - 5 = 0,1
Find the derivative of this function f(x) = x^4 + 4x^3 - 2x + 1,Differentiation,f(x) = x^4 + 4x^3 - 2x + 1,2
Find the derivative of this function f(x) = 7x^2 - 2x + 3,Differentiation,f(x) = 7x^2 - 2x + 3,2
Determine the roots of the quadratic function: x^2 - 2x - 3 = 0,Quadratic Equation,x^2 - 2x - 3 = 0,1
Solve for x: 8x - 3 = 13,Linear Equation,8x - 3 = 13,0
Calculate the integral of the function f(x) = x^5 - 4x^2 + 3 with respect to x,Integration,?(x^5 - 4x^2 + 3)dx,3
Determine the limit of (1/x) as x approaches infinity,Limits,lim (x -> ?) (1/x),4
Solve the system of equations: 3x - y = 4 and 2x + y = 5,System of Linear Equations,"3x - y = 4,2x + y = 5",5
Solve for x: 4x + 5 = 9,Linear Equation,4x + 5 = 9,0
Determine the roots of the quadratic equation: 5x^2 + 3x + 2 = 0,Quadratic Equation,5x^2 + 3x + 2 = 0,1
Find the derivative of this function f(x) = 2x^5 - 3x^2 + 7x,Differentiation,f(x) = 2x^5 - 3x^2 + 7x,2
Calculate the integral of the function f(x) = 3x^4 - 2x + 6 with respect to x,Integration,?(3x^4 - 2x + 6)dx,3
Calculate the integral of the function f(x) = 2x^2 + 5x - 1 with respect to x,Integration,?(2x^2 + 5x - 1)dx,3
Determine the limit of (sin(2x)/x) as x approaches 0,Limits,lim (x -> 0) (sin(2x)/x),4
Determine the limit of (1/x^2) as x approaches infinity,Limits,lim (x -> ?) (1/x^2),4
Solve the system of equations: x - 2y = 3 and 4x + 5y = 7,System of Linear Equations,"x - 2y = 3,4x + 5y = 7",5
Solve the system of equations: 2x + y = 9 and 3x - 4y = 2,System of Linear Equations,"2x + y = 9,3x - 4y = 2",5
Solve for x in the inequality: 6x - 2 > 14,Linear Inequality,6x - 2 > 14,7
"Find the eigenvalues of the matrix H = [[2, 3], [3, 3]]",Matrix,"H = [[2, 3], [3, 3]]",6
Solve for x in the inequality: 7x + 5 < 20,Linear Inequality,7x + 5 < 20,7
"Find the eigenvalues of the matrix I = [[1, 2], [2, 2]]",Matrix,"I = [[1, 2], [2, 2]]",6
Solve for x in the inequality: 5x - 3 >= 12,Linear Inequality,5x - 3 >= 12,7
"Find the eigenvalues of the matrix J = [[4, 1], [1, 1]]",Matrix,"J = [[4, 1], [1, 1]]",6
"Find the determinant of the matrix H = [[3, 4], [2, 4]]",Matrix,"H = [[3, 4], [2, 4]]",6
"Find the inverse of the matrix I = [[2, 3], [1, 3]]",Matrix,"I = [[2, 3], [1, 3]]",6
"Find the trace of the matrix J = [[5, 0], [0, 5]]",Matrix,"J = [[5, 0], [0, 5]]",6
Solve for x: 7x + 11 = 25,Linear Equation,7x + 11 = 25,0
Determine the roots of the quardratic equation: 4x^2 - 5x - 6 = 0,Quadratic Equation,4x^2 - 5x - 6 = 0,1
Calculate the integral of the function f(x) = 3x^4 - 8x^2 + 5 with respect to x,Integration,?(3x^4 - 8x^2 + 5)dx,3
Find the derivative of this function f(x) = 5x^6 - 2x^4 + 3x^2 - 1,Differentiation,f(x) = 5x^5 - 2x^4 + 3x^2 - 1,2
"Find the determinant of the matrix A = [[1, 4], [3, 2]]",Matrix,"A = [[1, 4], [3, 2]]",6
Solve the systems of equations: 2x - 5y = 1 and 3x + 2y = 11,System of Linear Equations,"2x - 5y = 1, 3x + 2y = 11",5
Determine the limit of (x^4 - 16)/(x - 2) as x approaches 2,Limits,lim(x -> 2) (x^4 - 16)/(x - 2),4
"Find the eigenvalues of the matrix B = [[5, 1], [1, 3]]",Matrix,"B = [[5, 1], [1, 3]]",6
Solve for x in the inequality: 4x - 9 > 15,Linear Inequality,4x - 9 > 15,7
Solve for x: 5x - 3 = 17,Linear Equation,5x - 3 = 17,0
Find the derivative of the function f(x) = sin(3x),Differentiation,f(x) = sin(3x),2
Determine the roots of the quardratic equation: 3x^2 + 8x - 3 = 0,Quadratic Equation,3x^2 + 8x - 3 = 0,1
Find the derivative of this function f(x) = 4x^3 - 7x + 9,Differentiation,f(x) = 4x^3 - 7x + 9,2
Calculate the integral of the function f(x) = 5x^2 - 2x + 1 with respect to x,Integration,?(5x^2 - 2x + 1)dx,3
Determine the limit of (x^2 - 4)/(x - 2) as x approaches 2,Limits,lim (x -> 2) (x^2 - 4)/(x - 2),4
Solve the systems of equations: 5x + 3y = 16 and 2x - 4y = -2,System of Linear Equations,"5x + 3y = 16, 2x - 4y = -2",5
Solve for x in the inequality: 3x + 5 < 17,Linear Inequality,3x + 5 < 17,7
What is the value of the equation: 5x - 2 = 13?,Linear Equation,5x - 2 = 13,0
Determine the roots of the quadratic equation: 2x^2 + 7x - 4 = 0,Quadratic Equation,2x^2 + 7x - 4 = 0,1
Find the derivative of this function f(x) = 2x^5 - 3x^3 + 10,Differentiation,f(x) = 2x^5 - 3x^3 + 10,2
Calculate the integral of the function f(x) = 4x^2 - 6x + 9 with respect to x,Integration,?(4x^2 - 6x + 9)dx,3
Determine the limit of (x^2 - 1)/(x - 1) as x approaches 1,Limits,lim (x -> 1) (x^2 - 1)/(x - 1),4
Solve the systems of equations: 4x + 2y = 10 and x - 3y = 5,System of Linear Equations,"4x + 2y = 10, x - 3y = 5",5
"Find the inverse of the matrix B = [[4, 1], [2, 1]]",Matrix,"B = [[4, 1], [2, 1]]",6
Solve for x in the inequality: 2x + 1 < 9,Linear Inequality,2x + 1 < 9,7
Solve for x: 3x + 7 = 16,Linear Equation,3x + 7 = 16,0
